event_id,method_id,t1,A1,t2,A2,t3,A3,threshold,true_t0,expected_t0,t0_est,amax_est,error_vs_expected_ns,error_vs_true_ns,start_cycle,valid_cycle,latency_cycles,t0_raw,amax_raw,pass
13,0,12.791860082,0.153250634,16.100719189,0.479972661,18.359616867,0.667977119,0.300000000,19.839226335,11.239822841,11.239883423,0.667984009,0.000060582,-8.599342912,171,174,3,0x000b3d69,0x0000ab01,1
13,1,12.791860082,0.153250634,16.100719189,0.479972661,18.359616867,0.667977119,0.300000000,19.839226335,17.382496636,17.311401367,0.667984009,-0.071095269,-2.527824968,175,178,3,0x00114fb8,0x0000ab01,1
13,2,12.791860082,0.153250634,16.100719189,0.479972661,18.359616867,0.667977119,0.300000000,19.839226335,19.280110036,19.325531006,0.667984009,0.045420970,-0.513695329,179,182,3,0x00135356,0x0000ab01,1
14,0,13.917939825,0.630613346,18.500454245,2.820372961,19.729000419,3.579043699,0.300000000,21.608440031,12.598253989,12.598266602,3.579040527,0.000012613,-9.010173430,183,186,3,0x000c9928,0x0003943c,1
14,1,13.917939825,0.630613346,18.500454245,2.820372961,19.729000419,3.579043699,0.300000000,21.608440031,10.086713090,10.031646729,3.579040527,-0.055066361,-11.576793303,187,190,3,0x000a081a,0x0003943c,1
14,2,13.917939825,0.630613346,18.500454245,2.820372961,19.729000419,3.579043699,0.300000000,21.608440031,23.351826093,23.189926147,3.579040527,-0.161899946,1.581486116,191,194,3,0x0017309f,0x0003943c,1
15,0,13.207127912,0.202840218,17.668356183,0.923216084,19.912034687,1.232858284,0.300000000,20.792851826,11.950955188,11.951004028,1.232864380,0.000048841,-8.841847798,195,198,3,0x000bf375,0x00013b9d,1
15,1,13.207127912,0.202840218,17.668356183,0.923216084,19.912034687,1.232858284,0.300000000,20.792851826,16.243130964,16.324462891,1.232864380,0.081331927,-4.468388936,199,202,3,0x00105310,0x00013b9d,1
15,2,13.207127912,0.202840218,17.668356183,0.923216084,19.912034687,1.232858284,0.300000000,20.792851826,20.840424225,20.739791870,1.232864380,-0.100632355,-0.053059956,203,206,3,0x0014bd63,0x00013b9d,1
16,0,14.379792361,0.316706433,17.077845701,0.698384967,19.458618324,0.971528197,0.300000000,20.380375566,12.141021318,12.140930176,0.971527100,-0.000091143,-8.239445390,207,210,3,0x000c2414,0x0000f8b6,1
16,1,14.379792361,0.316706433,17.077845701,0.698384967,19.458618324,0.971528197,0.300000000,20.380375566,13.988938717,13.923141479,0.971527100,-0.065797238,-6.457234086,211,214,3,0x000dec53,0x0000f8b6,1
16,2,14.379792361,0.316706433,17.077845701,0.698384967,19.458618324,0.971528197,0.300000000,20.380375566,20.547964560,20.571960449,0.971527100,0.023995889,0.191584884,215,218,3,0x0014926c,0x0000f8b6,1
17,0,12.171379532,0.457225875,15.311526518,1.367740790,18.092442720,1.879030610,0.300000000,19.039853397,10.594517442,10.594512939,1.879028320,-0.000004502,-8.445340458,219,222,3,0x000a9832,0x0001e108,1
17,1,12.171379532,0.457225875,15.311526518,1.367740790,18.092442720,1.879030610,0.300000000,19.039853397,8.481580346,8.441986084,1.879028320,-0.039594262,-10.597867313,223,226,3,0x00087126,0x0001e108,1
17,2,12.171379532,0.457225875,15.311526518,1.367740790,18.092442720,1.879030610,0.300000000,19.039853397,18.142342360,18.168090820,1.879028320,0.025748460,-0.871762577,227,230,3,0x00122b08,0x0001e108,1
18,0,15.047214560,0.972981352,18.057550981,2.456927747,20.050763208,3.125181841,0.300000000,21.261926214,13.073422778,13.073440552,3.125183105,0.000017773,-8.188485662,231,234,3,0x000d12cd,0x0003200c,1
18,1,15.047214560,0.972981352,18.057550981,2.456927747,20.050763208,3.125181841,0.300000000,21.261926214,5.299226932,5.526428223,3.125183105,0.227201291,-15.735497991,235,238,3,0x000586c4,0x0003200c,1
18,2,15.047214560,0.972981352,18.057550981,2.456927747,20.050763208,3.125181841,0.300000000,21.261926214,20.668877697,20.746353149,3.125183105,0.077475453,-0.515573065,239,242,3,0x0014bf11,0x0003200c,1
19,0,18.290392663,0.989775211,20.570554158,1.963580792,23.824448020,3.391439391,0.300000000,24.656899010,15.972838347,15.972824097,3.391433716,-0.000014250,-8.684074913,243,246,3,0x000ff90b,0x00036435,1
19,1,18.290392663,0.989775211,20.570554158,1.963580792,23.824448020,3.391439391,0.300000000,24.656899010,11.182859447,11.182937622,3.391433716,0.000078175,-13.473961388,247,250,3,0x000b2ed5,0x00036435,1
19,2,18.290392663,0.989775211,20.570554158,1.963580792,23.824448020,3.391439391,0.300000000,24.656899010,25.705058085,25.722351074,3.391433716,0.017292989,1.065452064,251,254,3,0x0019b8ec,0x00036435,1
